product,uses,search_term_amazon_fresh_uk,asin,example_recipe_wording
"Fresh tuna steak",1,"Fresh tuna steak",,"Fresh tuna steak"
"Frozen banana",1,"Frozen banana",,"Frozen banana"
"Frozen mixed berries",1,"Frozen mixed berries",,"Frozen mixed berries"
"Frozen peas",1,"Frozen peas",,"Frozen peas"
"Frozen ripe bananas",1,"Frozen ripe bananas",,"Frozen ripe bananas"
"Garlic powder",1,"Garlic powder",,"Garlic powder"
"Grated carrots",1,"Grated carrots",,"Grated carrots"
"Green apple",1,"Green apple",,"Green apple"
"Green curry paste",1,"Green curry paste",,"Green curry paste"
"Green lentils",1,"Green lentils",,"Green lentils (tin)"
"Green or brown lentils",1,"Green or brown lentils",,"Green or brown lentils"
"Green pepper",1,"Green pepper",,"Green pepper"
"Ground almonds",1,"Ground almonds",,"Ground almonds"
"Halloumi",1,"Halloumi",,"Halloumi"
"Heavy cream",1,"Heavy cream",,"Heavy cream"
"Honey or maple syrup",1,"Honey or maple syrup",,"Honey or maple syrup"
"Kale or spinach",1,"Kale or spinach",,"Kale or spinach"
"Kidney beans",1,"Kidney beans",,"Kidney beans"
"King prawns",1,"King prawns",,"King prawns"
"Kiwi",1,"Kiwi",,"Kiwi"
"Labneh",1,"Labneh",,"Labneh (or thick Greek yogurt)"
"Ladyfingers",1,"Ladyfingers",,"Ladyfingers"
"Long grain rice",1,"Long grain rice",,"Long grain rice"
"Mango",1,"Mango",,"Mango"
"Maple syrup or honey",1,"Maple syrup or honey",,"Maple syrup or honey"
"Mascarpone",1,"Mascarpone",,"Mascarpone"
"Matcha powder",1,"Matcha powder",,"Matcha powder"
"Microgreens or rocket",1,"Microgreens or rocket",,"Microgreens or rocket"
"Mixed brown & black rice",1,"Mixed brown & black rice",,"Mixed brown & black rice"
"Mixed peppers",1,"Mixed peppers",,"Mixed peppers"
"Mixed salad greens",1,"Mixed salad greens",,"Mixed salad greens"
"Mixed seeds",1,"Mixed seeds",,"Mixed seeds (chia, hemp, flax)"
"Onions",1,"Onions",,"Onions"
"Oregano",1,"Oregano",,"Oregano"
"Parmesan or pecorino",1,"Parmesan or pecorino",,"Parmesan or pecorino"
"Parsley",1,"Parsley",,"Parsley"
"Peaches",1,"Peaches",,"Peaches"
"Peanuts",1,"Peanuts",,"Peanuts"
"Pear",1,"Pear",,"Pear"
"Pears",1,"Pears",,"Pears"
"Peas",1,"Peas",,"Peas"
"Pesto",1,"Pesto",,"Pesto"
"Pinch of sea salt",1,"Pinch of sea salt",,"Pinch of sea salt"
"Pine nuts or walnuts",1,"Pine nuts or walnuts",,"Pine nuts or walnuts"
"Pizza dough",1,"Pizza dough",,"Pizza dough"
"Plain yogurt",1,"Plain yogurt",,"Plain yogurt (or oat milk)"
"Plant milk",1,"Plant milk",,"Plant milk"
"Powdered sugar",1,"Powdered sugar",,"Powdered sugar"
"Pumpkin",1,"Pumpkin",,"Pumpkin"
"Quark",1,"Quark",,"Quark"
"Red bell pepper",1,"Red bell pepper",,"Red bell pepper"
"Red or green lentils",1,"Red or green lentils",,"Red or green lentils"
"Rice noodles",1,"Rice noodles",,"Rice noodles"
"Rice vinegar",1,"Rice vinegar",,"Rice vinegar"
"Rigatoni or penne",1,"Rigatoni or penne",,"Rigatoni or penne"
"Ripe avocado",1,"Ripe avocado",,"Ripe avocado"
"Ripe tomatoes",1,"Ripe tomatoes",,"Ripe tomatoes"
"Roasted peanuts to top",1,"Roasted peanuts to top",,"Roasted peanuts to top"
"Roasted red peppers",1,"Roasted red peppers",,"Roasted red peppers (jar)"
"Rocket",1,"Rocket",,"Rocket"
"Romaine lettuce",1,"Romaine lettuce",,"Romaine lettuce"
"Rye bread",1,"Rye bread",,"Rye bread"
"Saffron",1,"Saffron",,"Saffron"
"Salad greens",1,"Salad greens",,"Salad greens"
"Salmon fillets",1,"Salmon fillets",,"Salmon fillets"
"Semi-dried tomatoes",1,"Semi-dried tomatoes",,"Semi-dried tomatoes"
"Shallot",1,"Shallot",,"Shallot"
"Snap peas",1,"Snap peas",,"Snap peas"
"Snow peas",1,"Snow peas",,"Snow peas"
"Soft dates",1,"Soft dates",,"Soft dates, pitted"
"Spring onion",1,"Spring onion",,"Spring onion"
"Stracciatella or burrata",1,"Stracciatella or burrata",,"Stracciatella or burrata"
"Strong coffee",1,"Strong coffee",,"Strong coffee"
"Sumac",1,"Sumac",,"Sumac"
"Sun-dried tomatoes",1,"Sun-dried tomatoes",,"Sun-dried tomatoes"
"Sunflower seeds",1,"Sunflower seeds",,"Sunflower seeds"
"Sushi rice or jasmine rice",1,"Sushi rice or jasmine rice",,"Sushi rice or jasmine rice"
"Sweet onion",1,"Sweet onion",,"Sweet onion"
"Sweet potatoes",1,"Sweet potatoes",,"Sweet potatoes"
"Tamarind paste",1,"Tamarind paste",,"Tamarind paste"
"Thai basil",1,"Thai basil",,"Thai basil"
"Thyme",1,"Thyme",,"Thyme"
"Tomato purée",1,"Tomato purée",,"Tomato purée"
"Truffle oil",1,"Truffle oil",,"Truffle oil (or truffle paste)"
